                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.0944,                 1.1137,                 1.1041,                0.53961,                0.25509,                0.19428,                 0.1355,                 1.7169,                  1.978,                 1.3931,             0.00030808,             0.00030808,             0.00030808
                     76,                  1.114,                 1.1197,                 1.1009,                0.53206,                0.24874,                0.19963,                0.14389,                 1.7224,                 1.9881,                  1.415,             0.00029708,             0.00029708,             0.00029708
                     77,                 1.0955,                 1.0861,                 1.0967,                0.53632,                0.26157,                0.21094,                0.14665,                 1.7176,                 1.8794,                 1.4105,             0.00028608,             0.00028608,             0.00028608
                     78,                 1.1028,                 1.1095,                 1.1035,                0.54611,                0.25545,                0.21128,                 0.1504,                 1.7081,                  1.939,                 1.4047,             0.00027508,             0.00027508,             0.00027508
                     79,                  1.068,                 1.0933,                 1.0914,                0.54829,                0.25423,                0.20411,                0.14572,                 1.7363,                 2.0297,                 1.4157,             0.00026408,             0.00026408,             0.00026408
                     80,                 1.0907,                 1.1071,                 1.0975,                0.52752,                0.24453,                0.19262,                0.13976,                 1.7427,                 2.0661,                 1.4277,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.0762,                 1.0858,                 1.0868,                0.52815,                0.25415,                0.19836,                0.14148,                 1.7064,                 1.9845,                 1.4113,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.0568,                 1.0867,                 1.0824,                0.53926,                0.24248,                0.19493,                0.14034,                  1.738,                 2.0754,                 1.4338,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.0644,                 1.0852,                 1.0812,                0.37756,                0.23256,                0.19727,                0.14237,                 1.7177,                 2.0724,                 1.4087,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.0712,                  1.059,                  1.085,                0.31056,                0.24757,                0.19193,                0.14115,                 1.7173,                 2.0319,                 1.4139,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.0398,                 1.0361,                 1.0787,                0.53265,                0.23566,                0.19156,                 0.1403,                 1.7283,                  2.089,                 1.4218,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.0302,                 1.0486,                 1.0559,                0.52951,                0.24976,                0.18838,                0.13521,                 1.7182,                 2.0625,                 1.4206,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.0443,                 1.0586,                 1.0726,                0.52994,                0.24738,                0.19536,                0.13872,                 1.7053,                 2.0406,                 1.4157,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.0144,                 1.0509,                 1.0694,                0.56111,                0.23701,                0.19498,                0.14167,                 1.7109,                 2.0784,                 1.4131,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.0332,                 1.0334,                 1.0684,                0.35208,                0.25036,                0.20345,                0.14549,                 1.7157,                 2.0002,                 1.4312,              0.0001541,              0.0001541,              0.0001541
